"full_name","e","q","i","om","w","ad","tp_cal","per_y","class","data_arc","condition_code","n_obs_used","two_body","A1","A2","A3","DT"
"     C/1532 R1",1.0000,0.519,32.59,93.81,24.53,,1532-10-18.8,,PAR,37,,3,T,,,,
"     C/1533 M1",1.0000,0.255,149.59,125.42,21.40,,1533-06-15.4,,PAR,29,,10,T,,,,
"     C/1538 A1",1.0000,0.148,42.46,356.20,287.70,,1537-12-30.3,,PAR,8,,5,T,,,,
"     C/1539 H1",1.0000,0.961,18.60,55.10,174.50,,1539-05-12.6,,PAR,36,,3,T,,,,
"     C/1556 D1",1.0000,0.491,32.37,181.44,100.87,,1556-04-22.6,,PAR,52,,36,T,,,,
"     C/1557 T1",1.0000,0.500,42.00,212.00,94.00,,1557-09-22.0,,PAR,19,,3,T,,,,
"     C/1558 P1",1.0000,0.281,110.94,341.21,119.60,,1558-09-14.0,,PAR,13,,7,T,,,,
"     C/1577 V1",1.0000,0.177,104.88,31.24,255.67,,1577-10-27.4,,PAR,74,,24,T,,,,
"     C/1580 T1",1.0000,0.602,64.61,24.95,89.37,,1580-11-28.9,,PAR,32,,10,F,,,,
"     C/1582 J1",1.0000,0.169,118.54,233.03,331.89,,1582-05-06.9,,PAR,6,,3,T,,,,
"     C/1585 T1",1.0000,1.095,6.13,43.14,331.78,,1585-10-08.5,,PAR,25,,28,F,,,,
"     C/1590 E1",1.0000,0.568,150.45,171.34,307.67,,1590-02-08.5,,PAR,11,,32,T,,,,
"     C/1593 O1",1.0000,0.089,87.91,169.92,12.07,,1593-07-19.0,,PAR,27,,3,T,,,,
"     C/1596 N1",1.0000,0.567,128.08,335.96,59.41,,1596-07-25.7,,PAR,7,,3,T,,,,
"     C/1618 Q1",1.0000,0.513,21.49,298.84,24.80,,1618-08-17.6,,PAR,24,,7,T,,,,
"     C/1618 V1",1.0000,0.744,8.40,229.50,155.90,,1618-10-27.9,,PAR,28,,6,T,,,,
"     C/1618 W1",1.0000,0.390,37.20,81.00,287.44,,1618-11-08.8,,PAR,53,,42,T,,,,
"     C/1639 U1",1.0000,0.816,61.70,219.70,237.40,,1639-11-29.4,,PAR,3,,4,T,,,,
"     C/1652 Y1",1.0000,0.848,79.46,93.00,300.19,,1652-11-13.1,,PAR,18,,54,T,,,,
"     C/1661 C1",1.0000,0.443,33.02,86.56,33.45,,1661-01-27.3,,PAR,35,,3,T,,,,
"     C/1664 W1",1.0000,1.026,158.70,86.05,310.68,,1664-12-04.9,,PAR,61,,30,F,,,,
"     C/1665 F1",1.0000,0.106,103.89,232.70,156.09,,1665-04-24.7,,PAR,14,,8,T,,,,
"     C/1668 E1",1.0000,0.067,144.38,3.21,109.81,,1668-02-28.0,,PAR,16,,15,T,,,,
"     C/1672 E1",1.0000,0.695,82.97,302.69,109.52,,1672-03-01.9,,PAR,24,,34,T,,,,
"     C/1677 H1",1.0000,0.281,100.93,241.32,99.16,,1677-05-06.5,,PAR,9,,10,T,,,,
"     C/1683 O1",1.0000,0.560,96.74,177.84,87.81,,1683-07-13.5,,PAR,43,,,T,,,,
"     C/1684 N1",1.0000,0.958,65.42,272.60,330.30,,1684-06-08.7,,PAR,16,,,T,,,,
"     C/1686 R1",1.0000,0.336,34.97,358.44,81.91,,1686-09-16.3,,PAR,29,,3,T,,,,
"     C/1689 X1",1.0000,0.064,63.20,283.75,78.13,,1689-11-30.6,,PAR,13,,4,T,,,,
"     C/1695 U1",1.0000,0.042,93.59,286.02,59.12,,1695-10-23.7,,PAR,20,,13,T,,,,
"     C/1698 R1",1.0000,0.729,169.09,70.28,151.38,,1698-10-17.5,,PAR,26,,3,T,,,,
"     C/1699 D1",1.0000,0.749,109.42,325.89,109.52,,1699-01-13.9,,PAR,11,,3,T,,,,
"     C/1701 U1",1.0000,0.593,138.37,302.81,164.95,,1701-10-17.9,,PAR,7,,3,T,,,,
"     C/1702 H1",1.0000,0.647,4.38,193.29,309.64,,1702-03-14.1,,PAR,11,,5,T,,,,
"     C/1706 F1",1.0000,0.427,55.27,17.28,59.43,,1706-01-30.7,,PAR,23,,6,T,,,,
"     C/1707 W1",1.0000,0.859,88.65,56.92,27.16,,1707-12-12.4,,PAR,26,,4,T,,,,
"     C/1718 B1",1.0000,1.025,148.84,131.90,6.31,,1718-01-15.4,,PAR,18,,13,T,,,,
"     C/1723 T1",1.0000,0.999,130.03,18.10,331.38,,1723-09-28.1,,PAR,59,,15,T,,,,
"     C/1729 P1",1.0000,4.051,77.09,314.39,10.40,,1729-06-16.6,,PAR,135,,3,T,,,,
"     C/1733 K1",1.0000,0.103,23.79,271.05,187.89,,1733-05-06.1,,PAR,7,,4,T,,,,
"     C/1737 C1",1.0000,0.223,18.33,230.12,99.46,,1737-01-30.8,,PAR,35,,15,T,,,,
"     C/1739 K1",1.0000,0.674,124.26,211.04,104.75,,1739-06-17.9,,PAR,82,,,T,,,,
"     C/1742 C1",1.0000,0.766,112.95,189.20,328.04,,1742-02-08.6,,PAR,62,,100,T,,,,
"     C/1743 C1",1.0000,0.838,2.28,70.30,26.25,,1743-01-11.3,,PAR,16,,4,T,,,,
"     C/1743 Q1",1.0000,0.523,134.41,9.63,119.05,,1743-09-21.1,,PAR,26,,12,T,,,,
"     C/1743 X1",1.0000,0.222,47.14,49.30,151.49,,1744-03-01.8,,PAR,71,,76,T,,,,
"     C/1746 P1",1.0000,2.199,100.86,150.85,230.29,,1747-03-03.9,,PAR,114,,30,T,,,,
"     C/1748 H1",1.0000,0.841,94.53,236.38,17.83,,1748-04-29.3,,PAR,51,,20,T,,,,
"     C/1748 K1",1.0000,0.625,67.08,36.64,245.67,,1748-06-19.3,,PAR,3,,3,T,,,,
"     C/1750 C1",1.0000,0.200,132.00,303.00,285.00,,1750-02-23.0,,PAR,4,,3,T,,,,
"     C/1757 R1",1.0000,0.337,12.83,217.68,268.69,,1757-10-21.8,,PAR,35,,16,T,,,,
"     C/1758 K1",1.0000,0.215,68.30,234.21,36.77,,1758-06-11.6,,PAR,79,,,T,,,,
"     C/1760 A1 (Great comet)",1.0000,0.966,175.13,83.55,301.73,,1759-12-17.3,,PAR,31,,,T,,,,
"     C/1760 B1 (Messier)",1.0000,0.801,79.08,143.01,273.93,,1759-11-27.5,,PAR,50,,19,T,,,,
"     C/1762 K1 (Klinkenberg)",1.0000,1.009,85.67,351.87,115.48,,1762-05-28.8,,PAR,29,,3,T,,,,
"     C/1763 S1 (Messier)",1.0000,0.498,72.50,359.75,88.57,,1763-11-02.3,,PAR,46,,4,T,,,,
"     C/1764 A1 (Messier)",1.0000,0.555,127.09,123.39,104.86,,1764-02-13.0,,PAR,39,,,T,,,,
"     C/1766 E1 (Messier)",1.0000,0.505,139.15,247.41,100.88,,1766-02-17.8,,PAR,7,,16,T,,,,
"     C/1771 A1 (Great comet)",1.0000,0.528,148.56,111.94,260.38,,1770-11-22.7,,PAR,10,,4,T,,,,
"     C/1771 G1 (Messier)",1.0000,0.902,11.29,31.00,76.23,,1771-04-19.6,,PAR,72,,100,F,,,,
"     C/1773 T1 (Messier)",1.0000,1.127,61.22,124.24,314.12,,1773-09-06.1,,PAR,94,,4,T,,,,
"     C/1774 P1 (Montaigne)",1.0000,1.429,82.98,183.97,136.53,,1774-08-15.9,,PAR,68,,,T,,,,
"     C/1779 A1 (Bode)",1.0000,0.713,32.44,28.14,62.17,,1779-01-04.5,,PAR,118,,300,F,,,,
"     C/1780 U1 (Montaigne-Olbers)",1.0000,0.515,107.92,145.08,255.16,,1780-11-29.3,,PAR,8,,3,T,,,,
"     C/1780 U2 (Messier)",1.0000,0.099,126.18,127.23,237.83,,1780-10-01.2,,PAR,38,,3,T,,,,
"     C/1781 M1 (Mechain)",1.0000,0.776,81.72,86.06,156.21,,1781-07-07.6,,PAR,17,,12,T,,,,
"     C/1781 T1 (Mechain)",1.0000,0.961,152.80,80.48,61.39,,1781-11-30.0,,PAR,77,,4,T,,,,
"     C/1783 X1 (Great comet)",1.0000,0.708,128.86,59.86,336.12,,1784-01-21.7,,PAR,123,,16,T,,,,
"     C/1785 A1 (Messier-Mechain)",1.0000,1.143,70.24,267.21,205.63,,1785-01-27.8,,PAR,32,,9,T,,,,
"     C/1786 P1 (Herschel)",1.0000,0.411,50.89,197.40,325.05,,1786-07-08.3,,PAR,82,,144,F,,,,
"     C/1787 G1 (Mechain)",1.0000,0.349,131.72,109.85,99.16,,1787-05-11.3,,PAR,47,,,T,,,,
"     C/1788 W1 (Messier)",1.0000,1.063,167.51,159.93,57.84,,1788-11-10.8,,PAR,33,,9,T,,,,
"     C/1790 A1 (Herschel)",1.0000,0.758,148.07,179.12,115.95,,1790-01-15.7,,PAR,12,,4,T,,,,
"     C/1790 H1 (Herschel)",1.0000,0.798,116.15,36.12,119.48,,1790-05-21.7,,PAR,58,,,T,,,,
"     C/1791 X1 (Herschel)",1.0000,1.293,140.21,193.60,154.35,,1792-01-14.0,,PAR,33,,7,T,,,,
"     C/1793 A1 (Gregory)",1.0000,0.966,131.00,286.16,147.17,,1792-12-27.6,,PAR,34,,,T,,,,
"     C/1793 S1 (Perny)",1.0000,1.505,51.94,5.17,69.34,,1793-11-19.9,,PAR,72,,24,T,,,,
"     C/1793 S2 (Messier)",1.0000,0.403,119.64,111.38,239.81,,1793-11-05.3,,PAR,13,,,T,,,,
"     C/1796 F1 (Olbers)",1.0000,1.580,115.17,19.90,184.30,,1796-04-03.2,,PAR,14,,16,T,,,,
"     C/1797 P1 (Bouvard-Herschel)",1.0000,0.525,129.43,332.09,279.68,,1797-07-09.6,,PAR,15,,12,T,,,,
"     C/1798 G1 (Messier)",1.0000,0.485,43.78,124.92,343.00,,1798-04-05.0,,PAR,40,,9,T,,,,
"     C/1798 X1 (Bouvard)",1.0000,0.775,137.75,252.28,215.88,,1799-01-01.4,,PAR,4,,6,T,,,,
"     C/1799 P1 (Mechain)",1.0000,0.840,129.06,102.33,95.83,,1799-09-07.6,,PAR,79,,,T,,,,
"     C/1799 Y1 (Mechain)",1.0000,0.626,103.00,329.61,136.47,,1799-12-26.3,,PAR,11,,6,T,,,,
"     C/1801 N1 (Pons)",1.0000,0.256,159.27,45.31,219.84,,1801-08-09.0,,PAR,11,,11,T,,,,
"     C/1802 Q1 (Pons)",1.0000,1.094,57.01,313.01,21.85,,1802-09-10.3,,PAR,38,,135,T,,,,
"     C/1804 E1 (Pons)",1.0000,1.071,56.45,179.53,331.95,,1804-02-14.0,,PAR,19,,10,T,,,,
"     C/1806 V1 (Pons)",1.0000,1.082,144.95,324.99,225.21,,1806-12-29.4,,PAR,91,,35,T,,,,
"     C/1808 F1 (Pons)",1.0000,0.390,134.30,325.64,253.74,,1808-05-13.4,,PAR,8,,10,T,,,,
"     C/1808 M1 (Pons)",1.0000,0.608,140.71,26.88,131.56,,1808-07-12.6,,PAR,8,,3,T,,,,
"     C/1810 Q1 (Pons)",1.0000,0.970,62.95,311.50,114.92,,1810-10-06.7,,PAR,22,,10,T,,,,
"     C/1813 C1 (Pons)",1.0000,0.699,158.85,243.15,170.56,,1813-03-05.0,,PAR,34,,30,T,,,,
"     C/1813 G1 (Pons)",1.0000,1.215,99.06,45.27,205.16,,1813-05-20.0,,PAR,26,,13,T,,,,
"     C/1816 B1 (Pons)",1.0000,0.049,43.11,325.83,304.33,,1816-03-01.8,,PAR,10,,3,T,,,,
"     C/1817 Y1 (Pons)",1.0000,1.198,89.75,73.00,112.36,,1818-02-26.4,,PAR,59,,26,F,,,,
"     C/1818 W2 (Pons)",1.0000,0.855,116.91,92.54,348.11,,1818-12-05.4,,PAR,61,,21,T,,,,
"     C/1819 N1 (Great comet)",1.0000,0.342,80.75,276.23,13.42,,1819-06-28.2,,PAR,105,,400,F,,,,
"     C/1821 B1 (Nicollet-Pons)",1.0000,0.092,106.46,51.18,169.21,,1821-03-22.0,,PAR,103,,,T,,,,
"     C/1822 J1 (Gambart)",1.0000,0.504,126.40,179.93,344.69,,1822-05-06.0,,PAR,28,,18,T,,,,
"     C/1822 K1 (Pons)",1.0000,0.847,143.69,100.24,237.78,,1822-07-16.3,,PAR,15,,11,T,,,,
"     C/1823 Y1 (Great comet)",1.0000,0.227,103.82,305.51,28.49,,1823-12-09.9,,PAR,67,,200,F,,,,
"     C/1824 N1 (Rumker)",1.0000,0.592,125.43,236.80,334.08,,1824-07-12.0,,PAR,27,,33,T,,,,
"     C/1824 O1 (Scheithauer)",1.0000,1.050,54.60,281.74,85.23,,1824-09-29.5,,PAR,152,,150,T,,,,
"     C/1825 P1 (Pons)",1.0000,0.883,89.67,195.38,177.30,,1825-08-19.2,,PAR,16,,3,T,,,,
"     C/1825 V1 (Pons)",1.0000,2.008,39.99,200.06,279.38,,1826-04-22.4,,PAR,143,,59,T,,,,
"     C/1826 U1 (Pons)",1.0000,0.027,90.62,237.55,279.58,,1826-11-18.9,,PAR,75,,28,T,,,,
"     C/1826 Y1 (Pons)",1.0000,0.506,102.39,186.99,151.03,,1827-02-05.4,,PAR,29,,13,T,,,,
"     C/1827 P1 (Pons)",1.0000,0.138,125.88,152.10,258.70,,1827-09-12.1,,PAR,61,,3,T,,,,
"     C/1830 F1 (Great comet)",1.0000,0.921,21.26,208.76,5.80,,1830-04-09.7,,PAR,147,,300,F,,,,
"     C/1831 A1 (Great comet)",1.0000,0.126,135.26,340.24,26.89,,1830-12-28.1,,PAR,46,,61,T,,,,
"     C/1832 O1 (Gambart)",1.0000,1.183,136.67,74.83,204.63,,1832-09-26.0,,PAR,39,,32,F,,,,
"     C/1833 S1 (Dunlop)",1.0000,0.458,7.35,325.59,259.58,,1833-09-10.6,,PAR,15,,15,T,,,,
"     C/1834 E1 (Gambart)",1.0000,0.513,5.98,229.04,49.99,,1834-04-03.2,,PAR,35,,11,T,,,,
"     C/1835 H1 (Boguslawski)",1.0000,2.040,170.88,60.77,210.56,,1835-03-27.7,,PAR,37,,38,T,,,,
"     C/1839 X1 (Galle)",1.0000,0.618,53.07,122.18,72.27,,1840-01-04.9,,PAR,69,,59,T,,,,
"     C/1840 E1 (Galle)",1.0000,0.749,79.85,188.27,138.04,,1840-04-02.9,,PAR,20,,24,T,,,,
"     C/1842 U1 (Laugier)",1.0000,0.505,106.42,210.01,240.49,,1842-12-16.4,,PAR,28,,24,T,,,,
"     C/1843 J1 (Mauvais)",1.0000,1.616,52.72,159.44,124.25,,1843-05-06.5,,PAR,122,,63,T,,,,
"     C/1844 Y2 (d'Arrest)",1.0000,0.905,46.86,338.91,114.58,,1845-01-08.6,,PAR,62,,69,T,,,,
"     C/1845 D1 (de Vico)",1.0000,1.255,56.40,349.28,205.45,,1845-04-21.5,,PAR,57,,130,F,,,,
"     C/1845 L1 (Great June comet)",1.0000,0.401,131.10,339.97,75.80,,1845-06-06.1,,PAR,29,,100,T,,,,
"     C/1846 O1 (de Vico-Hind)",1.0000,1.376,122.38,163.46,78.75,,1846-05-28.3,,PAR,58,,40,T,,,,
"     C/1846 S1 (de Vico)",1.0000,0.831,49.72,6.84,93.98,,1846-10-30.2,,PAR,33,,10,T,,,,
"     C/1847 J1 (Colla)",1.0007,2.116,100.42,176.08,32.36,,1847-06-05.2,,HYP,231,,37,F,,,,
"     C/1847 Q1 (Schweizer)",1.0000,1.485,147.36,78.88,55.47,,1847-08-09.8,,PAR,81,,48,T,,,,
"     C/1847 T1 (Mitchell)",1.0002,0.329,108.13,192.97,276.61,,1847-11-14.8,,HYP,74,,77,F,,,,
"     C/1848 P1 (Petersen)",1.0000,0.320,95.59,213.65,260.95,,1848-09-08.5,,PAR,19,,30,T,,,,
"     C/1848 U1 (Petersen)",1.0000,0.960,85.04,217.33,208.01,,1849-01-19.8,,PAR,92,,127,T,,,,
"     C/1849 G2 (Goujon)",1.0009,1.159,67.15,204.66,33.16,,1849-05-26.9,,HYP,160,,150,F,,,,
"     C/1850 Q1 (Bond)",1.0000,0.566,40.06,208.11,243.20,,1850-10-19.8,,PAR,76,,50,T,,,,
"     C/1851 P1 (Brorsen)",1.0000,0.985,38.20,225.77,87.26,,1851-08-26.7,,PAR,60,,151,T,,,,
"     C/1851 U1 (Brorsen)",1.0000,0.142,73.99,46.43,294.45,,1851-10-01.2,,PAR,28,,15,T,,,,
"     C/1852 K1 (Chacornac)",1.0000,0.905,131.12,319.27,37.21,,1852-04-20.0,,PAR,28,,31,T,,,,
"     C/1853 E1 (Secchi)",1.0000,1.092,159.76,71.66,275.91,,1853-02-24.5,,PAR,36,,107,T,,,,
"     C/1853 L1 (Klinkerfues)",1.0003,0.307,61.50,142.57,170.44,,1853-09-02.2,,HYP,213,,350,F,,,,
"     C/1853 R1 (Bruhns)",1.0007,0.173,119.00,222.12,277.84,,1853-10-17.1,,HYP,90,,17,F,,,,
"     C/1853 W1 (van Arsdale)",1.0000,2.045,113.88,229.08,170.92,,1854-01-04.4,,PAR,88,,80,T,,,,
"     C/1854 F1 (Great comet)",1.0000,0.277,97.49,317.50,101.63,,1854-03-24.5,,PAR,30,,200,T,,,,
"     C/1854 L1 (Klinkerfues)",1.0000,0.648,108.70,349.70,74.57,,1854-06-22.4,,PAR,54,,227,T,,,,
"     C/1855 V1 (Bruhns)",1.0000,1.231,169.82,53.66,325.62,,1855-11-25.8,,PAR,51,,104,T,,,,
"     C/1857 D1 (d'Arrest)",1.0000,0.772,87.95,315.15,121.57,,1857-03-21.8,,PAR,67,,252,T,,,,
"     C/1857 M1 (Klinkerfues)",1.0000,0.368,121.03,25.69,134.07,,1857-07-18.4,,PAR,26,,131,T,,,,
"     C/1857 V1 (Donati-van Arsdale)",1.0000,1.009,142.16,141.31,95.10,,1857-11-19.5,,PAR,39,,69,T,,,,
"     C/1858 K1 (Bruhns)",1.0000,0.544,99.97,326.95,98.86,,1858-06-05.7,,PAR,29,,90,T,,,,
"     C/1858 R1 (Tuttle)",1.0000,1.427,158.71,161.74,155.54,,1858-10-13.3,,PAR,65,,4,T,,,,
"     C/1859 G1 (Tempel)",1.0000,0.201,95.49,359.31,282.00,,1859-05-29.7,,PAR,32,,29,T,,,,
"     C/1860 D1-A (Liais)",1.0000,1.199,79.68,326.02,209.76,,1860-02-17.1,,PAR,16,,3,T,,,,
"     C/1860 D1-B (Liais)",1.0000,1.198,79.62,326.01,209.69,,1860-02-17.1,,PAR,12,,3,T,,,,
"     C/1860 H1 (Rumker)",1.0000,1.307,48.24,10.83,41.22,,1860-03-06.0,,PAR,56,,55,T,,,,
"     C/1860 M1 (Great comet)",1.0000,0.293,79.32,86.63,76.88,,1860-06-16.5,,PAR,118,,300,F,,,,
"     C/1860 U1 (Tempel)",1.0000,0.683,32.21,46.77,311.98,,1860-09-22.8,,PAR,2,,3,T,,,,
"     C/1861 Y1 (Tuttle)",1.0000,0.839,138.00,147.04,331.60,,1861-12-07.6,,PAR,35,,30,T,,,,
"     C/1862 N1 (Schmidt)",1.0000,0.981,172.11,328.44,27.17,,1862-06-22.5,,PAR,29,,72,F,,,,
"     C/1862 W1 (Respighi)",1.0000,0.803,137.54,357.70,230.58,,1862-12-28.6,,PAR,84,,25,T,,,,
"     C/1862 X1 (Bruhns)",1.0000,0.795,85.36,118.84,74.47,,1863-02-03.9,,HYP,102,,120,F,,,,
"     C/1863 T1 (Baeker)",1.0007,1.313,83.32,106.93,78.12,,1863-12-29.6,,HYP,185,,176,F,,,,
"     C/1863 Y1 (Respighi)",1.0000,0.771,64.49,306.63,115.67,,1863-12-28.2,,PAR,64,,9,F,,,,
"     C/1864 R1 (Donati)",1.0000,0.626,134.98,176.88,346.09,,1864-07-28.3,,PAR,29,,20,T,,,,
"     C/1864 X1 (Baeker)",1.0000,0.771,48.86,205.11,118.45,,1864-12-22.9,,PAR,69,,123,T,,,,
"     C/1864 Y1 (Bruhns)",1.0000,1.115,162.89,342.78,178.50,,1864-12-28.2,,PAR,29,,10,F,,,,
"     C/1865 B1 (Great southern comet)",1.0000,0.026,92.49,254.83,111.72,,1865-01-14.8,,PAR,102,,198,T,,,,
"     C/1867 S1 (Baeker-Winnecke)",1.0000,0.330,96.57,66.84,148.64,,1867-11-07.4,,PAR,34,,57,T,,,,
"     C/1868 L1 (Winnecke)",1.0000,0.579,131.56,54.11,126.64,,1868-06-26.9,,PAR,33,,201,T,,,,
"     C/1869 T1 (Tempel)",1.0000,1.231,111.69,313.33,188.19,,1869-10-10.3,,PAR,31,,11,T,,,,
"     C/1870 K1 (Winnecke)",1.0000,1.009,121.78,143.57,198.23,,1870-07-14.5,,PAR,30,,5,T,,,,
"     C/1870 Q1 (Coggia)",1.0000,1.817,99.36,14.75,354.95,,1870-09-02.6,,PAR,98,,79,T,,,,
"     C/1870 W1 (Winnecke)",1.0002,0.390,147.29,96.59,90.55,,1870-12-20.3,,HYP,7,,9,T,,,,
"     C/1871 L1 (Tempel)",1.0000,1.083,101.98,213.70,96.32,,1871-07-27.5,,PAR,98,,185,F,,,,
"     C/1874 D1 (Winnecke)",1.0000,0.045,58.89,32.05,269.51,,1874-03-10.4,,PAR,5,,11,T,,,,
"     C/1874 G1 (Winnecke)",1.0000,0.886,148.41,275.85,331.72,,1874-03-14.4,,PAR,65,,148,F,,,,
"     C/1874 X1 (Borrelly)",1.0000,0.508,99.22,283.72,16.27,,1874-10-19.4,,PAR,31,,20,T,,,,
"     C/1877 C1 (Borrelly)",1.0000,0.807,152.89,188.96,347.16,,1877-01-19.6,,PAR,53,,97,T,,,,
"     C/1877 G1 (Winnecke)",1.0013,0.950,121.14,318.34,63.16,,1877-04-18.1,,HYP,65,,25,,,,,
