"full_name","e","q","i","om","w","ad","tp_cal","per_y","class","data_arc","condition_code","n_obs_used","two_body","A1","A2","A3","DT"
"     C/1997 N1 (Tabur)",1.0002,0.396,85.96,147.61,344.18,,1997-08-15.4,,HYP,25,,65,,,,,
"     C/1997 N3 (SOHO)",1.0000,0.006,142.75,2.61,80.45,,1997-07-04.9,,PAR,0,,6,T,,,,
"     C/1997 O2 (SOHO)",1.0000,0.036,71.92,73.07,57.03,,1997-07-25.4,,PAR,0,,9,T,,,,
"     C/1997 O3 (SOHO)",1.0000,0.005,141.45,16.19,97.86,,1997-08-01.5,,PAR,1,,8,T,,,,
"     C/1997 P1 (SOHO)",1.0000,0.005,144.35,5.46,84.44,,1997-08-05.8,,PAR,2,,62,T,,,,
"     C/1997 P2 (Spacewatch)",1.0279,4.263,14.58,302.91,24.50,,1997-08-31.1,,HYP,49,,94,,,,,
"     C/1997 P3 (SOHO)",1.0000,0.007,139.35,340.57,67.79,,1997-08-08.4,,PAR,1,,12,T,,,,
"     C/1997 P4 (SOHO)",1.0000,0.010,145.97,355.21,67.33,,1997-08-08.8,,PAR,0,,9,T,,,,
"     C/1997 P5 (SOHO)",1.0000,0.005,141.36,352.30,78.98,,1997-08-09.3,,PAR,0,,6,T,,,,
"     C/1997 Q1 (SOHO)",1.0000,0.008,144.13,356.40,73.48,,1997-09-01.4,,PAR,0,,17,T,,,,
"     C/1997 Q2 (SOHO)",1.0000,0.005,144.16,9.41,88.38,,1997-08-24.1,,PAR,2,,24,T,,,,
"     C/1997 R1 (SOHO)",1.0000,0.006,144.03,356.27,76.18,,1997-09-08.8,,PAR,0,,12,T,,,,
"     C/1997 R2 (SOHO)",1.0000,0.005,144.01,358.49,76.57,,1997-09-15.6,,PAR,1,,18,T,,,,
"     C/1997 R3 (SOHO)",1.0000,0.005,144.45,4.00,81.89,,1997-09-17.0,,PAR,1,,26,T,,,,
"     C/1997 S1 (SOHO)",1.0000,0.007,144.01,359.58,76.06,,1997-09-30.8,,PAR,1,,19,T,,,,
"     C/1997 S2 (SOHO)",1.0000,0.008,143.81,358.73,68.85,,1997-09-26.4,,PAR,1,,14,T,,,,
"     C/1997 S3 (SOHO)",1.0000,0.005,146.05,2.78,85.44,,1997-09-24.7,,PAR,0,,4,T,,,,
"     C/1997 S4 (SOHO)",1.0000,0.026,154.63,135.76,102.54,,1997-09-29.3,,PAR,0,,4,T,,,,
"     C/1997 S5 (SOHO)",1.0000,0.006,143.79,6.57,83.48,,1997-09-20.2,,PAR,0,,10,T,,,,
"     C/1997 T2 (SOHO)",1.0000,0.004,144.58,3.76,84.24,,1997-10-04.3,,PAR,1,,46,T,,,,
"     C/1997 T4 (SOHO)",1.0000,0.006,144.63,4.35,87.64,,1997-10-06.8,,PAR,0,,6,T,,,,
"     C/1997 T5 (SOHO)",1.0000,0.005,143.67,359.77,78.80,,1997-10-07.9,,PAR,0,,12,T,,,,
"     C/1997 T6 (SOHO)",1.0000,0.005,144.40,4.75,85.14,,1997-10-02.3,,PAR,1,,4,T,,,,
"     C/1997 T7 (SOHO)",1.0000,0.005,144.64,4.16,84.40,,1997-10-08.6,,PAR,0,,5,T,,,,
"     C/1997 T8 (SOHO)",1.0000,0.005,142.27,3.31,81.49,,1997-10-09.0,,PAR,0,,3,T,,,,
"     C/1997 U1 (SOHO)",1.0000,0.005,130.65,317.55,48.51,,1997-10-29.0,,PAR,0,,14,T,,,,
"     C/1997 U2 (SOHO)",1.0000,0.005,143.79,359.00,80.59,,1997-10-17.5,,PAR,0,,3,T,,,,
"     C/1997 U3 (SOHO)",1.0000,0.005,144.43,7.91,85.93,,1997-10-20.6,,PAR,0,,7,T,,,,
"     C/1997 U4 (SOHO)",1.0000,0.005,145.62,358.73,81.89,,1997-10-22.2,,PAR,1,,5,T,,,,
"     C/1997 U5 (SOHO)",1.0000,0.005,142.93,2.87,82.31,,1997-10-27.2,,PAR,0,,6,T,,,,
"     C/1997 U6 (SOHO)",1.0000,0.005,143.65,2.12,82.32,,1997-10-27.2,,PAR,0,,4,T,,,,
"     C/1997 U7 (SOHO)",1.0000,0.005,144.23,6.94,84.90,,1997-10-28.0,,PAR,0,,6,T,,,,
"     C/1997 U8 (SOHO)",1.0000,0.031,71.91,71.15,58.10,,1997-10-19.9,,PAR,1,,20,T,,,,
"     C/1997 U9 (SOHO)",1.0000,0.040,77.41,68.23,64.63,,1997-10-23.1,,PAR,0,,7,T,,,,
"     C/1997 V2 (SOHO)",1.0000,0.007,143.89,6.11,83.91,,1997-11-09.5,,PAR,1,,36,T,,,,
"     C/1997 V3 (SOHO)",1.0000,0.007,136.47,323.19,49.66,,1997-11-02.2,,PAR,0,,3,T,,,,
"     C/1997 V4 (SOHO)",1.0000,0.005,144.10,3.37,83.34,,1997-11-03.9,,PAR,0,,6,T,,,,
"     C/1997 V5 (SOHO)",1.0000,0.009,138.34,342.67,65.49,,1997-11-08.9,,PAR,0,,9,T,,,,
"     C/1997 V6 (SOHO)",1.0000,0.005,144.37,356.55,77.78,,1997-11-09.2,,PAR,0,,6,T,,,,
"     C/1997 V7 (SOHO)",1.0000,0.022,137.40,158.78,202.65,,1997-11-03.3,,PAR,0,,10,T,,,,
"     C/1997 V8 (SOHO)",1.0000,0.008,134.40,331.90,56.05,,1997-11-07.0,,PAR,0,,10,T,,,,
"     C/1997 V9 (SOHO)",1.0000,0.061,93.76,219.17,316.92,,1997-11-14.0,,PAR,0,,6,T,,,,
"     C/1997 W1 (SOHO)",1.0000,0.005,144.52,4.09,83.23,,1997-11-23.4,,PAR,2,,24,T,,,,
"     C/1997 W2 (SOHO)",1.0000,0.005,142.35,12.75,92.18,,1997-11-20.0,,PAR,0,,5,T,,,,
"     C/1997 W3 (SOHO)",1.0000,0.007,138.77,22.77,94.71,,1997-11-25.2,,PAR,0,,8,T,,,,
"     C/1997 X1 (SOHO)",1.0000,0.005,143.91,359.01,78.84,,1997-12-02.9,,PAR,1,,24,T,,,,
"     C/1997 X3 (SOHO)",1.0000,0.005,144.57,0.23,79.38,,1997-12-03.4,,PAR,1,,5,T,,,,
"     C/1997 X4 (SOHO)",1.0000,0.005,142.93,6.09,84.87,,1997-12-03.4,,PAR,0,,7,T,,,,
"     C/1997 X5 (SOHO)",1.0000,0.006,145.46,355.15,72.81,,1997-12-06.7,,PAR,0,,5,T,,,,
"     C/1997 X6 (SOHO)",1.0000,0.007,146.21,351.41,71.61,,1997-12-10.7,,PAR,0,,5,T,,,,
"     C/1997 X7 (SOHO)",1.0000,0.035,72.62,72.82,57.11,,1997-12-15.5,,PAR,0,,9,T,,,,
"     C/1997 Y1 (SOHO)",1.0000,0.005,141.83,3.55,82.34,,1997-12-21.2,,PAR,0,,3,T,,,,
"     C/1997 Y2 (SOHO)",1.0000,0.005,143.32,9.52,88.36,,1997-12-21.7,,PAR,0,,9,T,,,,
"     C/1997 Y3 (SOHO)",1.0000,0.007,146.84,348.04,67.17,,1997-12-23.2,,PAR,0,,10,T,,,,
"     C/1998 A1 (SOHO)",1.0000,0.005,144.12,7.13,86.01,,1998-01-13.2,,PAR,0,,14,T,,,,
"     C/1998 A2 (SOHO)",1.0000,0.041,27.93,80.78,26.31,,1998-01-03.7,,PAR,0,,6,T,,,,
"     C/1998 A3 (SOHO)",1.0000,0.042,27.35,80.73,22.97,,1998-01-09.3,,PAR,0,,6,T,,,,
"     C/1998 A4 (SOHO)",1.0000,0.043,26.87,81.03,21.35,,1998-01-10.7,,PAR,1,,6,T,,,,
"     C/1998 B2 (SOHO)",1.0000,0.005,142.62,359.53,83.58,,1998-01-26.1,,PAR,1,,8,T,,,,
"     C/1998 E1 (SOHO)",1.0000,0.005,142.71,9.27,94.92,,1998-03-03.6,,PAR,1,,7,T,,,,
"     C/1998 F1 (SOHO)",1.0000,0.009,138.61,339.82,60.14,,1998-03-22.4,,PAR,1,,13,T,,,,
"     C/1998 F2 (SOHO)",1.0000,0.005,146.06,351.17,71.30,,1998-03-28.1,,PAR,0,,4,T,,,,
"     C/1998 G2 (SOHO)",1.0000,0.005,146.08,354.60,79.41,,1998-04-02.4,,PAR,0,,5,T,,,,
"     C/1998 G3 (SOHO)",1.0000,0.035,53.86,322.50,288.02,,1998-04-12.3,,PAR,3,,67,T,,,,
"     C/1998 G4 (SOHO)",1.0000,0.009,139.59,338.58,62.75,,1998-04-11.4,,PAR,1,,18,T,,,,
"     C/1998 G5 (SOHO)",1.0000,0.005,144.40,359.89,78.29,,1998-04-06.7,,PAR,0,,5,T,,,,
"     C/1998 G6 (SOHO)",1.0000,0.005,144.82,7.71,85.24,,1998-04-07.1,,PAR,0,,5,T,,,,
"     C/1998 G7 (SOHO)",1.0000,0.008,143.52,356.63,76.17,,1998-04-07.8,,PAR,0,,8,T,,,,
"     C/1998 G8 (SOHO)",1.0000,0.005,144.96,7.24,86.48,,1998-04-09.9,,PAR,0,,5,T,,,,
"     C/1998 G9 (SOHO)",1.0000,0.037,84.26,67.91,66.29,,1998-04-12.0,,PAR,0,,6,T,,,,
"     C/1998 H2 (SOHO)",1.0000,0.007,143.75,9.67,85.93,,1998-04-30.7,,PAR,1,,30,T,,,,
"     C/1998 H3 (SOHO)",1.0000,0.005,144.16,357.63,77.47,,1998-04-26.8,,PAR,0,,4,T,,,,
"     C/1998 H4 (SOHO)",1.0000,0.005,143.82,359.69,79.69,,1998-04-28.3,,PAR,1,,7,T,,,,
"     C/1998 H5 (SOHO)",1.0000,0.005,143.95,5.76,86.37,,1998-04-20.5,,PAR,0,,6,T,,,,
"     C/1998 H6 (SOHO)",1.0000,0.005,142.82,1.02,79.40,,1998-04-20.6,,PAR,0,,5,T,,,,
"     C/1998 J1 (SOHO)",1.0002,0.153,62.93,351.65,110.56,,1998-05-08.6,,HYP,94,,318,,,,,
"     C/1998 J2 (SOHO)",1.0000,0.005,144.66,4.29,83.49,,1998-05-11.6,,PAR,1,,31,T,,,,
"     C/1998 J3 (SOHO)",1.0000,0.006,143.30,3.11,80.49,,1998-05-05.0,,PAR,0,,7,T,,,,
"     C/1998 J4 (SOHO)",1.0000,0.005,145.25,1.54,82.65,,1998-05-06.6,,PAR,0,,10,T,,,,
"     C/1998 J5 (SOHO)",1.0000,0.005,145.65,354.37,76.60,,1998-05-12.5,,PAR,0,,5,T,,,,
"     C/1998 K7 (SOHO)",1.0000,0.006,144.18,7.20,85.49,,1998-05-17.6,,PAR,1,,33,T,,,,
"     C/1998 K8 (SOHO)",1.0000,0.006,143.22,11.73,87.90,,1998-05-20.2,,PAR,0,,8,T,,,,
"     C/1998 K9 (SOHO)",1.0000,0.006,144.55,4.51,83.49,,1998-05-29.0,,PAR,1,,25,T,,,,
"     C/1998 K10 (SOHO)",1.0000,0.006,143.96,0.71,80.16,,1998-06-01.8,,PAR,1,,40,T,,,,
"     C/1998 K11 (SOHO)",1.0000,0.005,144.49,5.18,83.82,,1998-06-02.0,,PAR,2,,56,T,,,,
"     C/1998 K12 (SOHO)",1.0000,0.006,141.26,11.94,86.47,,1998-05-21.4,,PAR,1,,4,T,,,,
"     C/1998 K13 (SOHO)",1.0000,0.009,146.44,334.35,60.40,,1998-05-22.2,,PAR,0,,6,T,,,,
"     C/1998 K14 (SOHO)",1.0000,0.005,143.91,359.45,79.22,,1998-05-26.8,,PAR,0,,9,T,,,,
"     C/1998 K15 (SOHO)",1.0000,0.008,143.85,7.41,85.71,,1998-05-29.1,,PAR,0,,10,T,,,,
"     C/1998 K16 (SOHO)",1.0000,0.006,140.86,13.52,88.79,,1998-05-29.8,,PAR,0,,9,T,,,,
"     C/1998 K17 (SOHO)",1.0000,0.009,140.04,3.12,83.98,,1998-05-31.5,,PAR,0,,6,T,,,,
"     C/1998 L1 (SOHO)",1.0000,0.007,133.45,325.48,52.34,,1998-06-11.4,,PAR,1,,21,T,,,,
"     C/1998 L2 (SOHO)",1.0000,0.005,139.09,22.49,97.59,,1998-06-04.0,,PAR,0,,7,T,,,,
"     C/1998 L3 (SOHO)",1.0000,0.005,143.11,6.05,85.20,,1998-06-04.5,,PAR,0,,6,T,,,,
"     C/1998 L4 (SOHO)",1.0000,0.005,144.71,6.36,85.37,,1998-06-05.4,,PAR,1,,10,T,,,,
"     C/1998 L5 (SOHO)",1.0000,0.005,145.89,357.10,77.54,,1998-06-05.8,,PAR,0,,12,T,,,,
"     C/1998 L6 (SOHO)",1.0000,0.006,143.65,9.30,87.29,,1998-06-06.2,,PAR,1,,11,T,,,,
"     C/1998 L7 (SOHO)",1.0000,0.008,132.50,321.10,49.14,,1998-06-06.9,,PAR,0,,5,T,,,,
"     C/1998 L8 (SOHO)",1.0000,0.007,144.44,337.13,59.36,,1998-06-08.7,,PAR,0,,8,T,,,,
"     C/1998 L9 (SOHO)",1.0000,0.005,143.95,2.97,81.86,,1998-06-12.6,,PAR,0,,11,T,,,,
"     C/1998 L10 (SOHO)",1.0000,0.008,139.50,341.53,67.21,,1998-06-02.7,,PAR,0,,7,T,,,,
"     C/1998 M3 (Larsen)",1.0023,5.768,113.42,255.53,20.84,,1998-07-17.1,,HYP,384,,109,,,,,
"     C/1998 M7 (SOHO)",1.0000,0.005,144.54,341.17,63.51,,1998-06-17.2,,PAR,0,,9,T,,,,
"     C/1998 M8 (SOHO)",1.0000,0.005,146.26,347.41,67.94,,1998-06-19.8,,PAR,0,,10,T,,,,
"     C/1998 M9 (SOHO)",1.0000,0.006,147.31,350.68,69.49,,1998-06-22.0,,PAR,0,,18,T,,,,
"     C/1998 M10 (SOHO)",1.0000,0.006,144.24,2.73,81.47,,1998-06-24.0,,PAR,0,,8,T,,,,
"     C/1998 T2 (SOHO)",1.0000,0.005,144.22,359.05,81.01,,1998-10-15.5,,PAR,1,,7,T,,,,
"     C/1998 U1 (LINEAR)",1.0004,3.975,156.43,210.46,124.65,,1998-05-02.5,,HYP,87,,122,,,,,
"     C/1998 U6 (SOHO)",1.0000,0.005,143.74,3.67,80.63,,1998-10-29.6,,PAR,0,,5,T,,,,
"     C/1998 U7 (SOHO)",1.0000,0.007,131.34,316.22,48.66,,1998-10-27.6,,PAR,1,,9,T,,,,
"     C/1998 V1 (SOHO)",1.0000,0.005,143.89,0.80,80.75,,1998-11-04.9,,PAR,0,,8,T,,,,
"     C/1998 V2 (SOHO)",1.0000,0.005,144.73,358.30,78.92,,1998-11-07.6,,PAR,0,,6,T,,,,
"     C/1998 V3 (SOHO)",1.0000,0.005,147.39,351.18,76.95,,1998-11-07.7,,PAR,0,,5,T,,,,
"     C/1998 V4 (SOHO)",1.0000,0.005,144.64,7.78,86.57,,1998-11-09.5,,PAR,0,,6,T,,,,
"     C/1998 V5 (SOHO)",1.0000,0.007,143.04,315.60,31.07,,1998-11-02.9,,PAR,0,,3,T,,,,
"     C/1998 V6 (SOHO)",1.0000,0.008,148.56,347.96,61.40,,1998-11-03.0,,PAR,0,,4,T,,,,
"     C/1998 V7 (SOHO)",1.0000,0.005,145.20,348.36,71.42,,1998-11-07.5,,PAR,0,,4,T,,,,
"     C/1998 V8 (SOHO)",1.0000,0.036,72.01,72.88,57.46,,1998-11-03.4,,PAR,0,,14,T,,,,
"     C/1998 V9 (SOHO)",1.0000,0.007,144.90,327.81,57.07,,1998-11-08.6,,PAR,0,,5,T,,,,
"     C/1998 W3 (LINEAR)",1.0009,4.915,129.19,123.92,6.89,,1998-10-06.7,,HYP,471,,162,,,,,
"     C/1998 W4 (SOHO)",1.0000,0.006,145.14,359.98,80.83,,1998-11-24.5,,PAR,0,,6,T,,,,
"     C/1998 W5 (SOHO)",1.0000,0.008,142.26,12.86,89.63,,1998-11-25.1,,PAR,0,,5,T,,,,
"     C/1998 W6 (SOHO)",1.0000,0.006,143.37,8.43,86.21,,1998-11-26.0,,PAR,0,,9,T,,,,
"     C/1998 W7 (SOHO)",1.0000,0.036,72.12,73.21,56.89,,1998-11-28.2,,PAR,0,,17,T,,,,
"     C/1998 W8 (SOHO)",1.0000,0.005,144.11,1.75,80.74,,1998-11-30.4,,PAR,0,,5,T,,,,
"     C/1998 X3 (SOHO)",1.0000,0.005,147.15,355.68,75.96,,1998-12-05.9,,PAR,0,,5,T,,,,
"     C/1998 X4 (SOHO)",1.0000,0.006,142.65,8.47,83.14,,1998-12-08.2,,PAR,0,,4,T,,,,
"     C/1998 X5 (SOHO)",1.0000,0.006,144.99,356.25,76.64,,1998-12-09.5,,PAR,0,,6,T,,,,
"     C/1998 X6 (SOHO)",1.0000,0.006,145.03,351.42,70.54,,1998-12-10.1,,PAR,0,,8,T,,,,
"     C/1998 X7 (SOHO)",1.0000,0.006,143.98,359.36,79.14,,1998-12-10.3,,PAR,1,,7,T,,,,
"     C/1998 X8 (SOHO)",1.0000,0.005,142.86,13.18,89.85,,1998-12-12.3,,PAR,1,,8,T,,,,
"     C/1998 X9 (SOHO)",1.0000,0.005,144.96,354.66,75.70,,1998-12-14.6,,PAR,0,,8,T,,,,
"     C/1998 X10 (SOHO)",1.0000,0.005,145.56,340.33,62.62,,1998-12-14.6,,PAR,0,,6,T,,,,
"     C/1998 X11 (SOHO)",1.0000,0.005,140.90,13.51,91.40,,1998-12-09.1,,PAR,0,,7,T,,,,
"     C/1998 X12 (SOHO)",1.0000,0.005,144.89,354.81,74.90,,1998-12-07.4,,PAR,0,,8,T,,,,
"     C/1999 C1 (SOHO)",1.0000,0.006,144.81,3.63,81.72,,1999-02-07.8,,PAR,1,,46,T,,,,
"     C/1999 C2 (SOHO)",1.0000,0.007,144.16,354.19,72.41,,1999-02-06.7,,PAR,0,,7,T,,,,
"     C/1999 E2 (SOHO)",1.0000,0.005,145.42,4.27,82.50,,1999-03-03.7,,PAR,0,,12,T,,,,
"     C/1999 F3 (SOHO)",1.0000,0.036,73.31,72.36,57.90,,1999-03-17.3,,PAR,0,,18,T,,,,
"     C/1999 G2 (SOHO)",1.0000,0.005,145.01,358.79,82.65,,1999-04-13.7,,PAR,0,,11,T,,,,
"     C/1999 G3 (SOHO)",1.0000,0.009,144.09,2.98,73.82,,1999-04-02.4,,PAR,0,,7,T,,,,
"     C/1999 G4 (SOHO)",1.0000,0.007,145.06,1.74,75.85,,1999-04-03.8,,PAR,0,,9,T,,,,
"     C/1999 G5 (SOHO)",1.0000,0.006,143.42,2.66,77.96,,1999-04-11.6,,PAR,0,,9,T,,,,
"     C/1999 H2 (SOHO)",1.0000,0.005,145.38,3.33,83.70,,1999-04-19.6,,PAR,0,,11,T,,,,
"     C/1999 H3 (LINEAR)",1.0030,3.501,115.84,332.73,101.91,,1999-08-18.2,,HYP,1063,,847,,,,,
"     C/1999 H4 (SOHO)",1.0000,0.005,144.45,6.35,85.20,,1999-04-27.8,,PAR,1,,27,T,,,,
"     C/1999 H5 (SOHO)",1.0000,0.005,144.57,5.51,85.47,,1999-04-24.8,,PAR,0,,11,T,,,,
"     C/1999 H6 (SOHO)",1.0000,0.006,144.92,1.33,79.75,,1999-04-29.1,,PAR,0,,6,T,,,,
"     C/1999 H7 (SOHO)",1.0000,0.008,142.60,6.99,79.79,,1999-04-20.8,,PAR,0,,7,T,,,,
"     C/1999 H8 (SOHO)",1.0000,0.005,145.23,3.73,84.26,,1999-04-20.3,,PAR,1,,5,T,,,,
"     C/1999 H9 (SOHO)",1.0000,0.007,139.46,330.00,57.74,,1999-04-26.5,,PAR,0,,6,T,,,,
"     C/1999 J1 (SOHO)",1.0000,0.006,142.66,7.70,83.51,,1999-05-08.5,,PAR,1,,13,T,,,,
"     C/1999 J2 (Skiff)",1.0011,7.110,86.41,50.04,127.14,,2000-04-05.9,,HYP,1478,,970,,,,,
"     C/1999 J7 (SOHO)",1.0000,0.007,143.00,11.90,86.23,,1999-05-05.7,,PAR,0,,11,T,,,,
"     C/1999 J8 (SOHO)",1.0000,0.006,141.95,7.60,84.11,,1999-05-08.1,,PAR,0,,8,T,,,,
"     C/1999 J9 (SOHO)",1.0000,0.005,143.92,0.53,79.96,,1999-05-09.6,,PAR,0,,6,T,,,,
"     C/1999 J10 (SOHO)",1.0000,0.007,142.38,10.20,85.40,,1999-05-11.4,,PAR,1,,8,T,,,,
"     C/1999 J11 (SOHO)",1.0000,0.005,144.48,4.02,83.78,,1999-05-14.9,,PAR,0,,8,T,,,,
"     C/1999 J12 (SOHO)",1.0000,0.005,147.21,352.92,79.31,,1999-05-03.4,,PAR,0,,9,T,,,,
"     C/1999 J13 (SOHO)",1.0000,0.005,146.78,351.72,72.50,,1999-05-14.4,,PAR,1,,7,T,,,,
"     C/1999 K1 (SOHO)",1.0000,0.005,143.78,5.49,83.51,,1999-05-21.3,,PAR,1,,40,T,,,,
"     C/1999 K5 (LINEAR)",1.0018,3.255,89.47,106.38,241.49,,2000-07-04.3,,HYP,1038,,239,,,,,
"     C/1999 K8 (LINEAR)",1.0007,4.201,52.73,195.39,164.62,,2000-04-24.2,,HYP,1230,,610,,,,,
"     C/1999 K9 (SOHO)",1.0000,0.006,142.66,8.45,84.91,,1999-05-24.4,,PAR,1,,33,T,,,,
"     C/1999 K10 (SOHO)",1.0000,0.005,144.89,5.29,84.21,,1999-06-01.3,,PAR,1,,30,T,,,,
"     C/1999 K11 (SOHO)",1.0000,0.005,143.07,7.16,84.85,,1999-05-20.3,,PAR,1,,6,T,,,,
"     C/1999 K12 (SOHO)",1.0000,0.006,145.92,311.54,39.88,,1999-05-23.9,,PAR,0,,27,T,,,,
"     C/1999 K13 (SOHO)",1.0000,0.007,138.40,323.08,52.37,,1999-05-24.6,,PAR,0,,13,T,,,,
"     C/1999 K14 (SOHO)",1.0000,0.006,143.36,9.08,86.73,,1999-05-28.4,,PAR,1,,14,T,,,,
"     C/1999 K15 (SOHO)",1.0000,0.005,144.79,358.08,78.55,,1999-05-29.2,,PAR,1,,10,T,,,,
"     C/1999 K16 (SOHO)",1.0000,0.034,71.73,72.64,56.71,,1999-05-26.6,,PAR,0,,11,T,,,,
"     C/1999 K17 (SOHO)",1.0000,0.006,141.74,12.31,88.28,,1999-05-28.2,,PAR,0,,8,T,,,,
"     C/1999 L1 (SOHO)",1.0000,0.005,143.91,1.10,80.66,,1999-06-05.9,,PAR,0,,28,T,,,,
"     C/1999 L4 (SOHO)",1.0000,0.008,137.95,348.49,70.86,,1999-06-02.0,,PAR,0,,10,T,,,,
"     C/1999 L5 (SOHO)",1.0000,0.008,144.42,6.76,85.28,,1999-06-11.5,,PAR,1,,43,T,,,,
"     C/1999 L6 (SOHO)",1.0000,0.005,145.65,332.27,57.85,,1999-06-01.7,,PAR,0,,15,T,,,,
"     C/1999 L7 (SOHO)",1.0000,0.008,146.01,0.20,79.99,,1999-06-03.6,,PAR,0,,19,T,,,,
"     C/1999 L8 (SOHO)",1.0000,0.005,145.44,337.71,60.79,,1999-06-06.7,,PAR,0,,14,T,,,,
"     C/1999 L9 (SOHO)",1.0000,0.038,70.73,70.16,57.93,,1999-06-09.4,,PAR,0,,8,T,,,,
"     C/1999 M1 (SOHO)",1.0000,0.005,144.21,7.64,86.30,,1999-06-16.9,,PAR,0,,22,T,,,,
"     C/1999 M2 (SOHO)",1.0000,0.005,144.33,6.91,85.74,,1999-06-27.7,,PAR,0,,11,T,,,,
"     C/1999 M3 (SOHO)",1.0000,0.044,12.35,36.33,68.03,,1999-06-30.7,,PAR,0,,18,T,,,,
"     C/1999 M4 (SOHO)",1.0000,0.008,141.90,344.88,67.44,,1999-06-24.6,,PAR,0,,12,T,,,,
"     C/1999 N1 (SOHO)",1.0000,0.005,142.78,13.70,91.95,,1999-07-01.6,,PAR,0,,18,T,,,,
"     C/1999 N3 (SOHO)",1.0000,0.005,144.43,7.02,85.58,,1999-07-10.3,,PAR,1,,30,T,,,,
"     C/1999 N4 (LINEAR)",1.0042,5.505,156.92,345.90,90.43,,2000-05-23.7,,HYP,1348,,325,,,,,
"     C/1999 N5 (SOHO)",1.0000,0.050,27.08,82.49,27.20,,1999-07-11.2,,PAR,1,,38,T,,,,
"     C/1999 N6 (SOHO)",1.0000,0.043,12.15,32.50,63.97,,1999-07-12.3,,PAR,0,,20,T,,,,
"     C/1999 O1 (SOHO)",1.0000,0.005,144.42,359.34,78.96,,1999-08-01.1,,PAR,0,,14,T,,,,
"     C/1999 O2 (SOHO)",1.0000,0.008,139.26,338.37,62.39,,1999-07-22.5,,PAR,1,,14,T,,,,
"     C/1999 O3 (SOHO)",1.0000,0.005,143.44,10.06,89.76,,1999-08-01.3,,PAR,1,,28,T,,,,
"     C/1999 O4 (SOHO)",1.0000,0.059,133.32,107.87,104.04,,1999-07-18.8,,PAR,1,,12,T,,,,
"     C/1999 P2 (SOHO)",1.0000,0.008,144.76,4.43,82.37,,1999-08-06.1,,PAR,0,,23,T,,,,
"     C/1999 P3 (SOHO)",1.0000,0.006,144.16,5.59,84.02,,1999-08-04.0,,PAR,0,,19,T,,,,
"     C/1999 P4 (SOHO)",1.0000,0.005,144.33,10.74,89.07,,1999-08-10.1,,PAR,0,,14,T,,,,
"     C/1999 P5 (SOHO)",1.0000,0.006,144.69,355.21,72.99,,1999-08-12.9,,PAR,0,,22,T,,,,
"     C/1999 P6 (SOHO)",1.0000,0.049,26.57,82.01,21.49,,1999-08-05.1,,PAR,0,,17,T,,,,
"     C/1999 P7 (SOHO)",1.0000,0.037,71.32,73.00,57.64,,1999-08-13.1,,PAR,1,,11,T,,,,
"     C/1999 P8 (SOHO)",1.0000,0.049,26.56,81.85,21.28,,1999-08-14.9,,PAR,0,,11,T,,,,
"     C/1999 P9 (SOHO)",1.0000,0.049,26.55,81.74,21.51,,1999-08-15.0,,PAR,0,,22,T,,,,
"     C/1999 Q1 (SOHO)",1.0000,0.005,142.16,15.74,96.26,,1999-08-24.4,,PAR,1,,13,T,,,,
"     C/1999 Q2 (SOHO)",1.0000,0.005,144.55,0.48,79.36,,1999-08-25.1,,PAR,0,,10,T,,,,
"     C/1999 Q3 (SOHO)",1.0000,0.005,144.42,7.55,86.52,,1999-08-31.7,,PAR,1,,29,T,,,,
"     C/1999 R3 (SOHO)",1.0000,0.005,144.37,1.53,79.73,,1999-09-06.0,,PAR,1,,35,T,,,,
"     C/1999 R4 (SOHO)",1.0000,0.005,143.91,3.17,83.00,,1999-09-06.6,,PAR,1,,18,T,,,,
"     C/1999 S1 (SOHO)",1.0000,0.005,144.06,1.11,80.27,,1999-09-17.8,,PAR,1,,57,T,,,,
"     C/1999 S2 (McNaught-Watson)",1.0053,6.468,65.82,74.46,223.50,,1997-11-22.6,,HYP,881,,88,,,,,
"     C/1999 S4 (LINEAR)",1.0001,0.765,149.38,83.18,151.05,,2000-07-26.1,,HYP,300,,1230,,9.1e-08,-1.7e-08,,
"     C/1999 S5 (SOHO)",1.0000,0.005,144.40,1.79,80.68,,1999-09-21.3,,PAR,1,,14,T,,,,
"     C/1999 S6 (SOHO)",1.0000,0.006,143.85,8.51,89.64,,1999-09-21.8,,PAR,0,,15,T,,,,
"     C/1999 S7 (SOHO)",1.0000,0.005,143.99,3.20,82.08,,1999-09-24.9,,PAR,0,,17,T,,,,
"     C/1999 T2 (LINEAR)",1.0020,3.037,111.00,14.88,104.67,,2000-11-24.4,,HYP,1029,,1021,,,,,
"     C/1999 T3 (LINEAR)",1.0031,5.368,104.76,223.52,211.10,,2000-08-30.3,,HYP,868,,227,,,,,
"     C/1999 U1 (Ferris)",1.0034,4.139,105.75,58.26,291.12,,1998-09-03.2,,HYP,402,,208,,,,,
"     C/1999 U2 (SOHO)",1.0167,0.049,26.81,82.14,21.78,,1999-10-25.2,,HYP,1,,41,,,,,
"     C/1999 U4 (Catalina-Skiff)",1.0076,4.915,51.93,32.29,77.52,,2001-10-28.5,,HYP,1667,,847,,,,,
"     C/1999 U5 (SOHO)",1.0000,0.007,132.50,331.61,54.48,,1999-11-01.4,,PAR,1,,25,T,,,,
